CIUDAD;REGION;N REGION
ANCUD;LOS_LAGOS;14
ANGOL;LA_ARAUCANIA;12
ANTOFAGASTA;ANTOFAGASTA;3
ARICA;ARICA_Y_PARINACOTA;1
AYSEN;AYSEN;15
CALAMA;ANTOFAGASTA;3
CALBUCO;LOS_LAGOS;14
CALDERA;ATACAMA;4
CASTRO;LOS_LAGOS;14
CHILLAN;NUBLE;10
CHUQUICAMATA;ANTOFAGASTA;3
COLBUN;MAULE;9
CON-CON;VALPARAISO;6
CONCEPCION;BIOBIO;11
COPIAPO;ATACAMA;4
COQUIMBO;COQUIMBO;5
CORONEL;BIOBIO;11
COYHAIQUE;AYSEN;15
CURACAVI;METROPOLITANA;7
CURICO;MAULE;9
EL SALVADOR;ATACAMA;4
HIJUELAS;VALPARAISO;6
HUASCO;ATACAMA;4
IQUIQUE;TARAPACA;2
LA CALERA;VALPARAISO;6
LA CRUZ;VALPARAISO;6
LA SERENA;COQUIMBO;5
LINARES;MAULE;9
LLANQUIHUE;LOS_LAGOS;14
LLO-LLEO;VALPARAISO;6
LONCOCHE;LA_ARAUCANIA;12
LOS ANDES;VALPARAISO;6
LOS ANGELES;BIOBIO;11
LOS LAGOS;LOS_RIOS;13
LOS VILOS;COQUIMBO;5
MACHALI;OHIGGINS;8
MELIPILLA;METROPOLITANA;7
OSORNO;LOS_LAGOS;14
OVALLE;COQUIMBO;5
PALENA;LOS_LAGOS;14
PANGUIPULLI;LOS_RIOS;13
PARRAL;MAULE;9
PENAFLOR;METROPOLITANA;7
PENCO;BIOBIO;11
PETORCA;VALPARAISO;6
PUERTO MONTT;LOS_LAGOS;14
PUERTO OCTAY;LOS_LAGOS;14
PUERTO VARAS;LOS_LAGOS;14
PUNTA ARENAS;MAGALLANES;16
QUILLOTA;VALPARAISO;6
QUILPUE;VALPARAISO;6
RANCAGUA;OHIGGINS;8
RENGO;OHIGGINS;8
SAN ANTONIO;VALPARAISO;6
SAN CLEMENTE;MAULE;9
SAN ESTEBAN;VALPARAISO;6
SAN FELIPE;VALPARAISO;6
SAN FERNANDO;OHIGGINS;8
SAN PABLO;LOS_LAGOS;14
SAN PEDRO;METROPOLITANA;7
SANTA CRUZ;OHIGGINS;8
SANTO DOMINGO;VALPARAISO;6
TALAGANTE;METROPOLITANA;7
TALCA;MAULE;9
TALCAHUANO;BIOBIO;11
TEMUCO;LA_ARAUCANIA;12
TOCOPILLA;ANTOFAGASTA;3
VALDIVIA;LOS_RIOS;13
VALLENAR;ATACAMA;4
VALPARAISO;VALPARAISO;6
VILLARRICA;LA_ARAUCANIA;12
VINA DEL MAR;VALPARAISO;6
VILLA ALEMANA;VALPARAISO;6
SANTIAGO;METROPOLITANA;7
